"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
4,4,4,4,4,4,4,4,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033,6.55737704918033
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
2,2,2,2,2,2,2,2,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317,3.17460317460317
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
3,3,3,3,3,3,3,3,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935,4.83870967741935
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
1,1,1,1,1,1,1,1,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
